rank	title	price	publisher	category	description	download	inAppProducts	lastUpdate	size	rate
2016-06-28	1	검과마법 for Kakao	0	Longtu Korea Inc.	롤플레잉	■ 오픈이벤트 ■- 5레벨 달성하면 투즈키 이모티콘 100% 획득!- 50레벨 만들고 태연 첫 단독 콘서트 가자!- 태연 '아틀란티스 소녀' 공식카페에서 공개됩니다!※ 더 풍성한 이벤트와 이벤트 상세내용은공식카페에서 확인해주세요!■ 게임소개 ■혼자가 아닌 우리의 RPG 검과마법 for KakaoPC 온라인 이상의 Full 3D 판타지 세계를 만나세요.■ 게임특징 ■▶ 혼자가 아닌 즐거운 우리의 RPG- 완벽한 스토리를 담은 메인 퀘스트와 화려하고 넓은 오픈 필드- 우리 길드의 영지를 획득하기 위한 영토쟁탈전- 모두가 뭉쳐야 하는 거대 보스 레이드▶ 혼자가 아닌 치열한 우리의 RPG- 1000vs1000 초특급 대규모 전투에서 존재감을 과시하라!- 5vs5 전장에서 진영간 승리를 위해 싸워라!- 3vs3 아레나에서 최강의 호흡과 팀플을 발휘하라!- 최강자전에서 자신의 강함과 컨트롤을 증명하라!▶ 혼자가 아닌 다양한 우리의 RPG- 던전 내 최강의 보스를 처단하는 다양한 던전!- 유니크 스킬로 전투를 돕는 다양한 펫!- 빠르고 강한 개성만점 다양한 탈 것!- 화려하고 다양해서 더 특별한 날개!▶ 혼자가 아닌 편리한 우리의 RPG- 실시간 음성채팅으로 편리한 커뮤니케이션!- 길드원과 함께하는 레이드와 연회!- 편리한 매칭으로 함께하는 파티던전!■ 청약철회 안내 ■- 사용하지 않은 유료 콘텐츠는 구매 후 7일 이내에 고객센터를 통해 청약철회 신청을 할 수 있습니다.- 주/월정액 상품 경우 구매 이후 바로 사용이 되는 상품으로 환불이 불가합니다.- 회원의 단순 변심으로 인한 청약철회는 결제대행사 수수료를 제외한 금액으로 환불됩니다.- 환불은 단말기에 따라 제공되는 앱스토어의 환불 정책에 따라 진행되며 환불 신청자에게 사실확인 및 추가 증빙 자료 등을 요구할 수 있습니다.■ 고객센터 안내 ■- 고객센터: 1544-0711 (평일 오전10시~오후6시)- 고객문의: http://help.longtugames.co.kr- 공식카페: http://cafe.naver.com/geomma- 게임 관련 문의는 [캐릭터정보]->[설정]->[기타]->[고객센터]를 이용하여 주시기 바랍니다.----개발자 연락처 :Longtu Korea Inc.서울특별시 금천구 가산디지털1로 137 아이티캐슬 2차 13층사업자등록번호: 107-81-49583통신판매업 신고번호: 제2013-서울금천-0839호	1 000 000 - 5 000 000	항목당 가격 ₩1 100 ~ ₩110 000	2016년 6월 6일	30M	4.1
2016-06-28	2	스펠나인	0	4:33	롤플레잉	심장에 꽂히는 아홉개의 스킬!비주얼 액션 RPG ‘스펠나인’이제 액션은 기본! 스킬 전략을 만나다!▷ 시원 화끈한 절대무적 스킬 액션!!드래곤의 화염을 내뿜고 번개를 날려라!대지를 뒤흔드는 화려하고 강력한 스킬!최강의 스킬을 장착하고 화끈한 전투를 즐겨라!▷ 무궁무진 스킬 전략!!나의 스킬을 알고 적의 스킬을 알면 백전백승!스킬 선택과 연계에 따라 효과가 달라진다!무제한 스킬 전략의 세계가 펼쳐진다!▷ 눈이 시원해진다!! 스펙타클 이펙트!눈이 시원해지는 200여종 700여개의 스킬!슬립! 소환!! 흡혈!!! 모두 다른 효과와 이펙트!보기만 해도 즐거운 스펙타클 스킬 액션!▷ 나도 모르게 빠져든다! 몰입도 높은 시나리오장편소설 20권 분량의 방대한 시나리오약 250여장의 인게임 카툰!게임 그 이상의 감동을 선사하는 아름다운 스토리![스펠나인 공식카페]http://cafe.naver.com/433spellnine더욱 화려한 전투를 경험하고 싶으신가요?공식카페에서 가이드도 보고 이벤트 경품도 득템!# 전화걸기 및 관리 허용 권한 사용 안내해당 권한은 이벤트 보상 및 고객 응대에 필요한 단말기 정보 수집 용도로만 사용됩니다.권한을 허용하면 혜택 가득한 이벤트 정보와 당첨 안내 등을 빠짐 없이 받으실 수 있습니다.----개발자 연락처 :고객센터 : +82-2-1566-4340서울시 강남구 삼성로104길 22(삼성동)사업자등록번호 : 107-87-21419통신판매업신고번호 및 신고기관 : 제 2013-서울강남-02795 호 / 서울시 강남구청	500 000 - 1 000 000	항목당 가격 ₩5 000 ~ ₩100 000	2016년 6월 16일	51M	4.5
2016-06-28	3	엔네아스 사가	0	SkeinGlobe Corporation	롤플레잉	★ 모든 모험가 여러분께 최고급 신족 영웅 '가브리엘'을 드립니다 !엔네아스 사가의 세계로 오신 모험가 여러분 환영합니다.9.4.일생 RPG 엔네아스 사가! 9종족 4속성의 영웅들이 펼치는 대서사시를 만끽하시기 바랍니다.엔네아스 사가에서 모험가 여러분은 300개가 넘는 다양한 던전을 친구의 영웅과 함께 도전할 수 있습니다.- 마군단을 이끌던 반인반마 주인공의 반전 스토리를 체험할 수 있는 모험 던전.- 영웅의 돌을 획득하여 멋진 영웅을 소환할 수 있는 영웅 던전.- 매일매일 색다르게 도전할 수 있는 요일 던전.- 한 층 한 층 새로운 시련이 기다리는 검은 탑.- 온 세상을 정화시키려는 강대한 천사들을 쓰러뜨려야 하는 강림 던전.- 혼돈으로 인해 생겨난 균열에서 뛰쳐나온 강력한 보스를 저지해야 하는 균열의 틈.- 숨겨진 유물을 찾아 망령들과 사투를 벌이는 왕가의 무덤.- 진귀한 보물과 흥미진진한 모험이 기다리고 있는 뒤틀린 항로.- 길드원들과 함께 힘을 합쳐 공략하는 길드 레이드.이렇게 다양한 모험을 간단한 조작과 화려한 액션을 통해 경험할 수 있습니다.그리고 모험을 통해 9종족 4속성의 아름다운 영웅들을 소환할 수 있으며 이 영웅들을 조합하여 매우 다양한 팀을 만들 수 있답니다.상대의 종족과 속성을 고려한 최적의 전략으로 지하 투기장에서 이름을 날려 보세요![ 유의 사항 ]● 엔네아스 사가는 무료로 다운로드 및 플레이 가능합니다.● 게임을 플레이하려면 인터넷 연결이 필요합니다.● 일부 게임 아이템은 유료 구매할 수 있습니다.[ 게임 특징 ]● 영웅의 돌을 획득하여 영웅을 소환할 수 있습니다.● 보물상자를 통해 영웅과 다양한 아이템을 획득할 수 있습니다.● 팀 레벨이 올라갈수록 다양한 던전에 도전할 수 있습니다.● 다른 플레이어들과 다양한 순위 경쟁을 할 수 있습니다.● 상대의 팀을 분쇄할 수 있는 맞춤형 팀을 구성해 보세요.● 다른 플레이어들과 친구를 맺을 수 있으며 친구의 영웅을 사용할 수 있습니다.● 친구 길드원과 서로 코인을 주고 받을 수 있습니다.● 유료 구매를 하지 않아도 VIP 레벨을 올릴 수 있습니다.[ 요구 권한 안내 ]1. 주소록 액세스 작업 수행 권한- 로그인 시 기기 ID의 정보를 필요로 하며 사용자 식별을 위해 사용됩니다.2. 기기 사진 미디어 파일 액세스 작업 수행 권한- 앱 설치 및 추가 다운로드 패치를 위해 필요하며 사진과 미디어 파일은 일절 수집하지 않습니다.3. 전화 걸기 및 관리 작업 수행 권한- 보안과 관련된 항목으로 디아비스 ID를 암호화 하는 작업을 위해 필요하며. 통화 관련 정보는 일절 수집하지 않습니다.고객센터 문의 방법1. 게임 내 모험가 정보 메뉴(대표 영웅 아이콘) > 문의하기2. 고객센터 이메일 : support_es@skeinglobe.com공식 카페 : http://cafe.naver.com/enneassaga----개발자 연락처 :070-4168-1063서울 송파구 백제고분로 508 제일빌딩 6층	100 000 - 500 000	항목당 가격 ₩3 000 ~ ₩100 000	2016년 6월 22일	268M	4.6
2016-06-28	4	우리가 영웅이다!	0	(주)엔트웰	롤플레잉	★ 시스템 블록버스터 RPG ★우리가 영웅이다!는 수십명의 영웅들을 전략적인 용도에 맞게 선택해다수의 적들을 호쾌하게 물리쳐 나가는 모바일 RPG 입니다.여러분을 우영이 세계로 초대합니다~!■■■■ 게임 특징 ■■■■● 6명 영웅파티를 구성해 밀려드는 몬스터들과 박진감 넘치는 전투를 벌이자.● 타이밍에 맞는 터치를 통한 초극대화로 데미지 완전 증폭!● 드래그를 통한 세밀한 스킬 컨트롤로 더욱더 심화된 전투를 즐길 수 있다.● 종족에 따른 상성과 파티스킬등을 통한 전략적인 팀 구성.● 깨알같은 영웅 성장 시스템으로 키우는 맛이 가득가득.● 다양한 형태의 전투 시스템으로 영웅들을 키운 보람을 한번 느껴보자!----개발자 연락처 :게임 공식 까페 : http://cafe.naver.com/wearetheheroes게임 문의 : weareheroes-support@entwell.com서울시 금천구 가산디지털1로 145 17층	100 000 - 500 000	항목당 가격 ₩3 300 ~ ₩110 000	2016년 6월 19일	52M	4.4
2016-06-28	5	롤링 스카이	0	Clean Master Games	보드	롤링 스카이는 당신의 속도와 순발력 극한에 도전한 게임이다. 아주 화려한 3D 이펙트와 배경 상상력이 넘친 트랩과 장애물. 공을 슬라이드하여 다양한 세계에서 도전하자.플레이 규칙:손가락으로 공을 좌우로 움직여 각종 장애물을 피하되 경주로에서 벗어나면 안되요.빨리 플레이 해보세요. 음악 리듬에 맞춰 끊임없이 자신의 한계에 도전하여 손놀림이 더욱 민첩해지세요.게임특징:• 조작이 간단한 버튼식 게임• 3D 입체감있는 초현시각• 다양한 게임 장면: 언덕 우주 숲 눈밭 지옥• 속도와 반응력에 대한 도전관심과 연락 주세요 당신의 귀중한 의견과 건의를 받았습니다.당신을 저희 게임의 개선과 향상 계획에 진심으로 초청합니다.더 많은 업데이트 및 깜짝 이벤트를 기대해 주세요!rollingskyfeedback@conew.com비즈니스 협력:치타 모바일에서 현재 상호 간의 성공을 위해 전 세계의 멋진 모바일 게임 개발사를 초대합니다! 훌륭한 게임을 기대하고 있겠습니다!문의: publishing_cmplay@cmcm.com프라이버시 정책：http://www.cmcm.com/protocol/site/privacy.html	5 000 000 - 10 000 000	항목당 가격 ₩2 551	2016년 6월 13일	기기에 따라 다릅니다.	4.4
2016-06-28	6	비둘기키우기	0	마우스덕	캐주얼 게임	★경☆드디어 출시 했습니다.★축☆2016 제일 재미있는 게임.비둘기 키우기시간이 없으신가요?? 방치형 비둘기 키우기가 딱 입니다.완전 간단한 조작법!!!!단순하게 합치기만 하면 됩니다.초 간단 비둘기키우기 게임- 비둘기를 합쳐서 키워보세요!- 새로운 비둘기를 모아 보세요!- 손가락으로 비둘기를 잡고 다른 비둘기와 합쳐주세요.- 비버타임을 즐기고 깃털을 많이 모아보세요!- 새로운 비둘기가 나올 때 마다 친구들에게 자랑해보세요.- 과연 누가 먼저 최종 비둘기를 얻을 수 있을까요.- 다양한 업적을 달성하고 보상을 받아 보세요!- 다양한 랭킹의 1등 자리를 노려 보세요.- 마우스덕의 또다른 게임. '전설의블럭'도 즐겨보세요.데이터가 휴대기기에 자동 저장 됩니다~!이 게임은 evolution게임을 모티브로 제작 되었습니다. 감사합니다.☆★ 문의 & 버그 신고 ☆★개발자 커뮤니티 : http://cafe.naver.com/mouseduck.cafe개발자 연락처 : mouse_duck@naver.com	500 000 - 1 000 000	NA	2016년 6월 25일	24M	4.8
2016-06-28	7	slither.io	0	Lowtech Studios	액션	NEW: As part of Google Play Game Fest you can now access a special Google Play skin!Play against other people online! Can you become the longest player?If your head touches another player you will explode and then it's game over. But if others run into YOU then THEY will explode and you can eat their remains!In slither.io you have a chance to win even if you're tiny. You can swerve in front of a much larger player to defeat them no matter how big you are!Download now and start slithering! Good luck!NEW는 구글 플레이 게임 축제의 일환으로 당신은 지금 특별 구글은 피부 재생에 액세스 할 수 있습니다!온라인으로 다른 사람에 대해 플레이! 당신이 가장 긴 선수가 될 수 있습니까?당신의 머리가 다른 플레이어를 접촉하면 폭발 한 다음 게임은 끝났어. 다른 사람들이 당신에 실행한다면 그들은 폭발합니다 당신은 자신의 유골을 먹을 수 있습니다!slither.io에서 당신은 당신이 작은 경우에도 이길 수있는 기회가있다. 당신은 상관없이 당신이 얼마나 큰 그들을 이길 수 없습니다하는 훨씬 더 큰 선수 앞에 스쳐지나 수 있습니다!지금 다운로드에 slithering 시작! 행운을 빕니다!	50 000 000 - 100 000 000	항목당 가격 ₩4 606	2016년 6월 9일	NA	4.1
2016-06-28	8	천하를 탐하다	0	Entermate	전략	★천하가 나의 땅이며 천하가 나의 신하이다★■■■■■ 오픈 이벤트 ■■■■■[총상금 1억! 주인공을 찾아라!]총상금 1억의 주인공은 누구인가?전서버 최초 천하통일을 이룩한 동맹에게 3000 만원 땅 구매 상금 지급!총상금 1억 소진시까지 이벤트는 지속진행합니다.자세한 이벤트 내용은 공식카페를 참고해주세요~■■■■■ 게임 소개 ■■■■■[나만의 영지를 건설하라]실제 역사와 마찬가지로 영웅님들은 한 지역의 자신의 작은영지에서 부터 게임을 시작하게 됩니다. 자신의 세력을 조금씩키워 나가며 주변의 적들과 토호들을 제압하고 점점 더 자신만의세력을 건설할 수 있습니다.[나의 주를 점령하고 전국을 통일 시켜라!]게임내에서 13개의 주와 역사에 존재하는 모든 성들이 존재합니다.각 주마다 여러 영웅들이 자신의 세력을 키우고 있습니다.동맹을 건설하고 동맹원들과 협력해 천하통일을 이룩하시기 바랍니다.■■■■■ 요구 권한 ■■■■■1. 외부 저장장치에 파일을 쓰기 위해서 권한이 요구됩니다.(READ_EXTERNAL_STORAGE WRITE_EXTERNAL_STORAGE)2. 게임 내에서 음성 채팅을 위해서 권한이 요구됩니다.(RECORD_AUDIO)3. 디바이스의 상태를 읽어오기 위해서 권한이 요구됩니다.(READ_PHONE_STATE)■■■■■ 게임 특징 ■■■■■2016년 전략 시뮬레이션 모바일 게임 최고 기대작 !# 삼국시대의 모든 도시와 영지를 구현- 삼국시대의 위 촉 오 삼국의 지형과 모든 도시 위치를 그대로 재현 하였습니다.# 고퀄리티의 삼국지 500여명의 명장들- 고퀄리티로 제작된 삼국지의 모든 명장을 만날 수 있습니다.- 500 여명의 명장 수집이 가능합니다.# 동맹원들과의 치열한 점령전- 자신의 영지를 지속적으로 발전 시킬수 있습니다.- 동맹원들과 함께 주변 영지를 점령할 수 있습니다.# 전략이 승패를 가른다- 직관적인 UI와 쉬운 성장방식이 특징입니다.- 자신만의 전략을 만드는 것이 중요 합니다.# 대규모 군단전- 동맹들과 함께 군단을 만들어 대규모 군단전 진행이 가능합니다.- 군단을 만들어 13주를 모두 점령하면 천하통일의 대업을 이루게 됩니다.◎ 공식카페 http://cafe.naver.com/1000tam◎ 공식페이스북 https://www.facebook.com/1000tam■ 고객센터 ■상담시간 : 오전 10시 ~ 오후 7시 (주말/공휴일 휴무)메일 : mobilehelp@entermate.com전화 : 02-3461-2150공급자 : (주)엔터메이트주소 : 서울 서초구 남부순환로 2634-27 (양재동 성원빌딩 1 2층)통신판매업 번호 : 2015-서울서초-2170호사업자번호 : 107-88-29363----개발자 연락처 :고객지원: 02-3461-2150이메일: mobilehelp@entermate.com----개발자 연락처 :고객지원: 02-3461-2150이메일: mobilehelp@entermate.com	500 000 - 1 000 000	항목당 가격 ₩3 000 ~ ₩100 000	2016년 6월 16일	47M	4.0
2016-06-28	9	삼국지:미니군단 for Kakao	0	BIGBANG INTERACTIVE LIMITED	롤플레잉	나만의 군단으로 박진감 넘치는 전략 전투를 지금 바로 경험하세요!< 110명의 방대한 영웅 >삼국시대를 호령한 위 촉 오 영웅들이 총 110명 이상 등장하여영웅 수집과 성장의 즐거움을 제공하여 드립니다.< 인연 시스템 >영웅간의 관계에 따라 능력치가 증가하는 시스템으로 같은 국가 혹은 혈연 부부관계인 영웅으로 군단를 편성하면더욱 강력한 위력을 발휘할 수 있게 됩니다.< 풍부한 컨텐츠 >삼국전기 무한의탑 금광 점령 PVP 랭킹전과 길드쟁탈전 등 풍부한 컨텐츠를 통해지루할 틈 없는 즐거움을 선사합니다. 또한 서버간 경쟁을 할 수 있는서버대전이 준비되고 있습니다. (추후 업데이트될 예정)< 방대한 정통 시나리오 >정통 삼국지 스토리에 기반한 시나리오와 유명한 역사 전투를 체험 할 수 있는 삼국전기를 통해군단을 강화하고 영웅의 성장을 즐기실 수 있습니다.< 전략적인 전투 >전술과 부대간 상성에 따라 군단을 배치하고 영웅들의 스킬과 군단 전용 스킬을통해 박진감과 조작의 즐거움을 느끼실 수 있습니다.▶ 공식카페 바로가기 : cafe.naver.com/little3k▶ 고객 문의 주소 : cs@smartbrz.com	100 000 - 500 000	항목당 가격 ₩3 000 ~ ₩100 000	2016년 6월 19일	57M	4.6
2016-06-28	10	소울킹	0	Netmarble Games	롤플레잉	2016년 6월 15일부터~ 6월 30일까지1일 2일 3일 접속하시면매일 4성 미녀 영웅 1개씩을 추가로 더 드립니다.◆◆소울킹 전격 오픈◆◆7일동안 출석만 해도최강 영웅 소울킹과 전설급 영웅!다양한 아이템을 무료로 지급!◆◆게임 소개◆◆스킬을 끊고! 몰아치고! 판을 뒤엎는!예측불허 스킬 전략 RPG 소울킹!2016년 가장 개성 넘치는 영웅들의세계를 지키기 위한 예측 불허의 사투!한순간도 방심하지마라!판을 뒤엎는 진짜 전략 RPG가 왔다!그대들이여 한번쯤은 스킬을 전략하라!◆◆게임 특징◆◆▶쉽다! 재밌다! 이게 바로 전략RPG다!◀손쉬운 조작으로 무궁무진한 전략 실현!다양한 영웅의 스킬과 리더 효과를 고려하여 최강의 팀을 구성하고스킬을 연계하여 적을 공략하세요!▶개성강한 영웅들과 함께하는 빠른 성장◀5가지 속성의 개성강한 370종의 영웅들!1성부터 6성까지! 각종 성장을 통해 끝없이 강해지는 영웅들!각기 다른 특성을 가진 영웅들을 성장시켜 나만의 팀으로 키워보세요!▶풍부한 할거리! 다양하지만 어렵지 않은 콘텐츠◀모험 스토리 영웅 탐사 요일 던전 PVP 약탈전 도전의 탑 레이드등 다양한 게임 모드!전략적인 전투와 놀라운 액션! 흥미로운 영웅 이야기가 가득합니다!다양한 전략으로 풍성한 콘텐츠를 즐겨보세요!▶누구나 VIP유저◀결제하지 않아도! 게임 플레이만 해도!누구나 소울킹의 VIP!눈치보지 말고 VIP혜택을 받으며 게임해보세요!■■■■■■■■■■■■■■■■■■■■■■■■■■■■ 태블릿 모드를 지원합니다 ■[GET_CONTACTS]고객님의 주소록 데이터 정보는 현재 연결하고자 하는 계정을 확인하는 용도로만 사용됩니다. 이 정보는 외부에 유출되지 않으므로 안심하셔도 됩니다.Your contacts are only used for connecting the account. This information stays private and won’t be used in any other way.■ 상품 정보 및 이용 조건 안내 ■※ 유료아이템 구매 시 별도의 요금이 부과됩니다.- 공급자 : 넷마블게임즈(주) 대표이사 권영식- 이용조건 및 기간 : 게임 내 별도 고지된 내용에 따름(사용기간이 표시되지 않은 경우 서비스의 종료일까지를 사용기간으로 간주)- 결제금액 및 방법 : 상품 별 별도 고지된 결제금액 및 결제방법에 따름(외화 결제 시 환율 및 수수료 등으로 인해 실제 청구금액과 다를 수 있음)- 상품지급방식 : 게임 내 구매한 아이디(캐릭터)로 즉시 지급- 넷마블 고객센터 : 1588-3995 (평일 오전9시~오후6시 상담가능)- 최소사양 : CPU 듀얼코어 1.2GHz Ram 1GB(갤럭시 S2급)- 주소: 서울특별시구로구디지털로300- 사업자번호: 105-87-64746- 통신판매업번호: 제2014-서울구로-1028 호----개발자 연락처 :02-1588-3995서울특별시 구로구 디지털로 300사업자 번호 : 105-87-64746통신판매업 번호 : 제 2014-서울구로-1028 호----개발자 연락처 :02-1588-3995서울특별시 구로구 디지털로 300사업자 번호 : 105-87-64746통신판매업 번호 : 제 2014-서울구로-1028 호	100 000 - 500 000	항목당 가격 ₩1 000 ~ ₩100 000	2016년 6월 22일	55M	4.5
