rank	title	price	publisher	category	description	download	inAppProducts	lastUpdate	size	rate
2016-06-17	1	세븐나이츠 for Kakao	0	Netmarble Games	롤플레잉	빠른 성장을 원한다면? 세븐나이츠!누구보다 빠르게! 모험 3배 모드 업데이트!영웅 장비 펫! 모두 보관할 수 있는 창고 시스템 업데이트!다양한 보상이 가득한 심연의 탑이 새롭게 바뀌었어요!매일 매일 새로움이 가득한 세븐나이츠로 지금 접속하세요!■■■■■ 게임소개 ■■■■■비주얼이 다른 전략! 거부할 수 없는 초강력 비주얼 RPG세븐나이츠 for kakao1. 수백 명의 영웅들과 팀을 만들어 모험을 떠나자!2. 쉽고 빠른 자동전투로 누구나 손쉽게 즐길 수 있는 게임!3. 다이나믹하고 다양한 게임모드!- 모험모드: 11개의 영지를 정복하며 나의 영웅을 성장시키자!- 결투모드: 자웅을 겨루고 최강임을 인증하는 결투장!- 무한의탑: 나의 한계는 어디인가! 도전하고 또 도전하자!- 요일던전: 매일 다른 영웅들을 조합하여 공략하는 재미!- 공성/길드전: 길드원과 협동하여 최강의 길드가 되자!- 보스전 : 극강의 보스를 물리쳐 최고임을 증명하라!■ 상품 정보 및 이용 조건 안내 ■※ 유료아이템 구매 시 별도의 요금이 부과됩니다.- 공급자 : 넷마블게임즈(주) 대표이사 권영식- 이용조건 및 기간 : 게임 내 별도 고지된 내용에 따름(사용기간이 표시되지 않은 경우 서비스의 종료일까지를 사용기간으로 간주)- 결제금액 및 방법 : 상품 별 별도 고지된 결제금액 및 결제방법에 따름(외화 결제 시 환율 및 수수료 등으로 인해 실제 청구금액과 다를 수 있음)- 상품지급방식 : 게임 내 구매한 아이디(캐릭터)로 즉시 지급- 넷마블 고객센터 : 1588-3995 (평일 오전9시~오후6시 상담가능)- 최소사양 : CPU 듀얼코어 1.2GHz Ram 1GB- 주소: 서울특별시구로구디지털로300- 사업자번호: 105-87-64746- 통신판매업번호: 제2014-서울구로-1028 호----개발자 연락처 :02-1588-3995서울특별시 구로구 디지털로 300사업자 번호 : 105-87-64746통신판매업 번호 : 제 2014-서울구로-1028 호	5 000 000 - 10 000 000	항목당 가격 ₩3 000 ~ ₩100 000	2016년 6월 9일	54M	4.1
2016-06-17	2	모두의마블 for Kakao	0	Netmarble Games	보드	▶ 아슬아슬 위험천만! 신규 맵 '얼음동굴' 업데이트!시원하고 짜릿한 한방 승리 도전!블록을 얼리고 미끄러지면 통행료가 팍팍! 얼음동굴에선 미끄럼에 주의하세요!▶ 패키지 상품 이 추가되어 더욱 풍성해진 상점을 만나보세요!절호의 기회! 푸짐한 아이템이 들어 있는 패키지 상품이 새롭게 나왔어요! 지금 만나보세요!▶ 더~좋아진 신규 가입 아이템 지원!캐릭터가 너무 많다구요? 무엇이 가장 좋은 아이템인지 모르시겠다구요?이젠 가입 즉시 A+캐릭터 카드와 행운아이템으로 시작해보세요!▶ 캐릭터 카드 도감 개편!더 쉬워진 캐릭터 간 능력치 비교! 내 캐릭터에 딱 맞는 인기 행운템 추천!캐릭터 상세보기로 취향저격 캐릭터 일러스트 감상까지!확 바뀐 캐릭터 카드 도감에서 즐겨보세요!새로운 업데이트와 함께 더 짜릿한 모마의 매력에 빠져 보아요~--------------------------------------------------------------------------전세계 1억명이 즐기는 모두의마블!전세계 우주 신의 세계 마법의 세계 그리고 이제 얼음동굴에서도 투자왕이 되어보세요!주사위를 굴리기만 하면 누구나 즐길 수 있는 쉽고 재미있는 게임~친구들과 함께 모험하는 즐거움을 느껴보세요.이미 주사위는 던져졌다! 지금 바로 모두의마블로 GO GO~~전세계 1억명이 즐기는 모두의마블!전세계 우주 신의 세계 마법의 세계 그리고 이젠 얼음동굴에서도 투자왕이 되어보세요!주사위를 굴리기만 하면 누구나 즐길 수 있는 쉽고 재미있는 게임~친구들과 함께 모험하는 즐거움을 느껴보세요.이미 주사위는 던져졌다! 지금 바로 모두의마블로 GO GO~~[게임특징]▶ 신규맵'얼음동굴'부터 한국 전세계 우주여행 테마파크 어드벤처맵 요새섬멸전 좀비맵 신의 손 마법의 정원까지! ◀모마에는 취향대로 골라먹는 재미가 듬뿍~대한민국의 다양한 명소부터 미국의 자유의 여신상까지! 곳곳의 랜드마크 건설하기!끝 없는 우주를 탐험하고 테마파크에서 나만의 멋진 놀이동산을 만들기!요새를 파괴하면 승리~ 요새섬멸전에서 진짜 전투하기!친구와 협동하여 좀비킹을 처치하는 신개념 좀비맵!신과 대결할 수 있는 차원이 다른 블록 전략 즐기기!신비로운 분위기의 마법의 정원에서 공간지배 마법 발동!아슬아슬 위험천만 얼음동굴에서 시원한 한방 파산승리까지!▶ 주사위와 카드로 즐기는 국민 캐주얼 보드 게임 ◀주사위를 굴려서 지역을 모두 소유하고 최고의 부자가 되어 보세요!지역을 뺏고 뺏기는 짜릿한 긴장감!▶ 각양각색 개성 만점 캐릭터들 ◀천재 유치원생 슬기 전설의 탑 레이서 크리스틴 좀비 헌터 카인 등다채로운 개성이 가득한 캐릭터들과 함께 모험을 떠나보아요~▶ 게임을 더 유리하게 도와줄 행운아이템 ◀다양한 능력의 행운아이템으로 판도를 바꿔보세요!출발점에서 거꾸로 갈수도 단숨에 세계여행으로도 갈 수 있는 강력한 기능들이 기다리고 있어요!▶ 두근 두근 큐브 시스템 ◀큐브를 맞추면 대박 보상이! 과연 이번 큐브에서는 어떤 선물이 나올까요?감질맛 나는 재미가 있는 큐브 오픈~!▶ 치열한 심리전의 보물쟁탈전 등장! ◀새로운 형태의 3:3 카드 배틀 게임! 주사위와 카드만 있으면 즐길 수 있어요!보드 게임을 잠깐 쉬어 가고 싶을 때 또다른 심리전을 즐겨보세요!▶ 친구와 그리고 모르는 사람과도 함께 하는 신나는 여행 ◀카카오톡 친구와 또 블루투스를 통해 친구가 아닌 사람과도 게임을 즐길 수 있어요!이제 더욱 다양한 사람들과 짜릿한 게임을 즐겨보세요!※ 네트워크 게임으로 WIFI 3G 접속 상태에서 즐기실 수 있습니다.※ 유료 아이템 구매 시 별도의 요금이 부과됩니다.■ 상품 정보 및 이용 조건 안내 ■- 공급자 : 넷마블게임즈(주) 대표이사 권영식- 이용조건 및 기간 : 게임 내 별도 고지된 내용에 따름(사용기간이 표시되지 않은 경우 서비스의 종료일까지를 사용기간으로 간주)- 결제금액 및 방법 : 상품 별 별도 고지된 결제금액 및 결제방법에 따름(외화 결제 시 환율 및 수수료 등으로 인해 실제 청구금액과 다를 수 있음)- 상품지급방식 : 게임 내 구매한 아이디(캐릭터)로 즉시 지급- 넷마블 고객센터 : 1588-3995 (평일 오전9시~오후6시 상담가능)- 최소사양 : CPU 듀얼코어 1.2GHz Ram 1GB----개발자 연락처 :02-1588-3995서울시 구로구 디지털로 300 지밸리비즈플라자 20층사업자 번호 : 105-87-64746통신판매업 번호 : 제제2014-서울구로-1028호----개발자 연락처 :02-1588-3995서울특별시 구로구 디지털로 300사업자 번호 : 105-87-64746통신판매업 번호 : 제 2014-서울구로-1028 호	10 000 000 - 50 000 000	항목당 가격 ₩1 000 ~ ₩200 000	2016년 5월 20일	35M	4.1
2016-06-17	3	검과마법 for Kakao	0	Longtu Korea Inc.	롤플레잉	■ 오픈이벤트 ■- 5레벨 달성하면 투즈키 이모티콘 100% 획득!- 50레벨 만들고 태연 첫 단독 콘서트 가자!- 태연 '아틀란티스 소녀' 공식카페에서 공개됩니다!※ 더 풍성한 이벤트와 이벤트 상세내용은공식카페에서 확인해주세요!■ 게임소개 ■혼자가 아닌 우리의 RPG 검과마법 for KakaoPC 온라인 이상의 Full 3D 판타지 세계를 만나세요.■ 게임특징 ■▶ 혼자가 아닌 즐거운 우리의 RPG- 완벽한 스토리를 담은 메인 퀘스트와 화려하고 넓은 오픈 필드- 우리 길드의 영지를 획득하기 위한 영토쟁탈전- 모두가 뭉쳐야 하는 거대 보스 레이드▶ 혼자가 아닌 치열한 우리의 RPG- 1000vs1000 초특급 대규모 전투에서 존재감을 과시하라!- 5vs5 전장에서 진영간 승리를 위해 싸워라!- 3vs3 아레나에서 최강의 호흡과 팀플을 발휘하라!- 최강자전에서 자신의 강함과 컨트롤을 증명하라!▶ 혼자가 아닌 다양한 우리의 RPG- 던전 내 최강의 보스를 처단하는 다양한 던전!- 유니크 스킬로 전투를 돕는 다양한 펫!- 빠르고 강한 개성만점 다양한 탈 것!- 화려하고 다양해서 더 특별한 날개!▶ 혼자가 아닌 편리한 우리의 RPG- 실시간 음성채팅으로 편리한 커뮤니케이션!- 길드원과 함께하는 레이드와 연회!- 편리한 매칭으로 함께하는 파티던전!■ 청약철회 안내 ■- 사용하지 않은 유료 콘텐츠는 구매 후 7일 이내에 고객센터를 통해 청약철회 신청을 할 수 있습니다.- 주/월정액 상품 경우 구매 이후 바로 사용이 되는 상품으로 환불이 불가합니다.- 회원의 단순 변심으로 인한 청약철회는 결제대행사 수수료를 제외한 금액으로 환불됩니다.- 환불은 단말기에 따라 제공되는 앱스토어의 환불 정책에 따라 진행되며 환불 신청자에게 사실확인 및 추가 증빙 자료 등을 요구할 수 있습니다.■ 고객센터 안내 ■- 고객센터: 1544-0711 (평일 오전10시~오후6시)- 고객문의: http://help.longtugames.co.kr- 공식카페: http://cafe.naver.com/geomma- 게임 관련 문의는 [캐릭터정보]->[설정]->[기타]->[고객센터]를 이용하여 주시기 바랍니다.----개발자 연락처 :Longtu Korea Inc.서울특별시 금천구 가산디지털1로 137 아이티캐슬 2차 13층사업자등록번호: 107-81-49583통신판매업 신고번호: 제2013-서울금천-0839호	500 000 - 1 000 000	항목당 가격 ₩1 100 ~ ₩110 000	2016년 6월 6일	30M	4.0
2016-06-17	4	뮤오리진	0	Webzen Inc.	롤플레잉	■ 뮤 오리진 '일곱번째' 업데이트 ■★신규 용사를 위한 7일간 특별 이벤트 진행 중!★뮤 오리진에 첫 발을 디딘 용사님들을 위한 신규 유저 이벤트 추가!7일간 매일 목표를 달성하여 빠른 성장을 경험하세요!★뮤 오리진'시련의 땅'업데이트★서버 보스 전장! '시련의 땅'전 서버 에서 참여한 100명의 용사여! 힘을 합쳐 강력해진 5대 보스를 처치하라!★나만의 영지 업데이트★나만의 전략으로 영지를 개발해서 보상을 획득하라!4종류의 영지 레벨의 합에 따라 추가 보상도 획득하자!★신규 서버 이벤트 진행 중!★첫 충전하면 4티어 무기 에픽 방어구 셋트 100% 증정!매일 충전 시 금액에 따라 보상에 보상에 보상을 더!이벤트 기간 동안 레벨업만 해도 마정석 축석 영석 깃털 등의 대박 선물까지!--------------------------------------------------■ 콘텐츠 업데이트(1.8.0) ■1. 서버 보스 전장'시련의 땅'- 5대 보스와의 전쟁! 서버 보스 전장'시련의 땅'시스템이 추가되었습니다.- '시련의 땅'에서는 전 서버에서 참여한 100명의 용사님들과 함께 더욱 강력해진 5대 보스를 처치하게 됩니다.- '시련의 땅' 입장 신청 및 진행 시간은 아래와 같습니다.# 입장 신청 : 매주 토요일 일요일 14:00 ~ 14:25 18:00 ~ 18:25# 진행 시간 : 매주 토요일 일요일 14:30 ~ 15:00 18:30 ~ 19:00# 입장 방법 : 이벤트>서버대항전>시련의땅- 이벤트 시작 시 5대 보스와 대량의 몬스터가 등장하며 30분 내에 처치해야 합니다.- 모든 몬스터 처치 시 아이템을 획득할 수 있으며 보스 몬스터의 경우에는 가장 많은 데미지를 입힌 캐릭터가 아이템 습득 권한을 갖게됩니다.2. 10환생 통합 맵 '칼루탄'- 전 서버의 10환생 용사님들이 함께할 수 있는 10환생 통합 맵 '칼루탄'이 추가되었습니다.- 10환생 용사님들은 '칼루탄' 맵에 접속하여 다른 서버의 용사님들과 함께 뮤 오리진을 즐길 수 있습니다.- '칼루탄' 맵은 게임 내 [지도>월드맵>칼루탄]을 통해 입장하실 수 있으며 총 5개의 채널 중 원하는 채널을 선택하여 입장 가능합니다.- '칼루탄' 맵 입장을 위해서는 15 000젠이 필요하며 입장 시 자동으로 차감됩니다.- '칼루탄' 맵 내에서는 경매장 상점 투기장 등 일부 기능을 사용할 수 없습니다.3. 영지 시스템- 나만의 영지를 개발할 수 있는 '영지'시스템이 추가되었습니다.- 영지 시스템에는 천문대 마법의 탑 전쟁의 탑 시련의 문 총 4가지가 존재하며 각각 개발시킬 수 있습니다.- 영지 개발 시 기본적으로 한 명의 일꾼이 존재하며 다이아를 사용하여 추가로 한 명의 일꾼을 고용할 수 있습니다.- 개발 완료 시 건물 경험치와 함께 별의 정수 마정석 업적 명성 보상을 획득할 수 있습니다.- 네 가지의 영지 레벨의 총 합에 따라 추가 보상을 획득할 수 있습니다.- 게임을 종료한 상태에서도 영지는 계속해서 개발됩니다.4. 신규 유저 이벤트- 뮤 오리진에 첫 발을 내딛은 용사님들을 위한 신규 유저 이벤트가 추가되었습니다.- 신규 유저 이벤트는 캐릭터를 생성한 날부터 7일간 진행되며 로그인 일수 다이아 충전 목표 달성 한정 상품 총 4가지로 이루어져 있습니다.- 다이아 충전 이벤트의 경우 각 날마다 지정되어 있는 다이아 충전 조건을 충족해야 보상을 획득할 수 있으며 다른 충전 이벤트와 중복해서 참여 가능합니다.- 목표 달성 이벤트의 경우 접속 일차에 맞게 매일 다른 목표가 제공되며 목표마다 상이한 보상이 지급됩니다.5. 코스튬 시스템 추가- 캐릭터의 외형을 변화시킬 수 있는 코스튬 시스템이 추가되었습니다.- 코스튬 아이템은 아이템 뽑기를 통해 이벤트 기간에만 획득 가능합니다.- 코스튬 아이템은 비귀속 다이아를 사용하여 뽑기를 진행한 경우에만 획득 가능하며 경매장을 통해 거래할 수 있습니다.■ 시스템 기능 개선 및 변경 안내 ■1. 채팅 UI 개선- 채팅 화면에 '서버' '캐릭터명' '일시'가 표기되도록 개선되었습니다.2. 신규 펫 3종 이벤트 종료- 1주년 기념으로 진행된 신규 펫 3종 획득([머메이드] [마그마피스트] [파프니르]) 이벤트가 종료되었습니다.--------------------------------------------------■ 모바일의 한계를 뛰어넘는 100% Real MMORPG! ■지금까지의 모바일 게임은 잊어라 상상 그 이상의 게임이 찾아온다!손끝에서 느껴지는 Real MMORPG 뮤오리진을 즐기세요!----개발자 연락처 :주소: 경기 성남시 분당구 판교로 242(삼평동 판교디지털센터 B동)고객센터:- 1670-1101(뮤오리진)- 1566-3003(더 비스트)	1 000 000 - 5 000 000	항목당 가격 ₩3 000 ~ ₩181 818	2016년 5월 29일	48M	4.2
2016-06-17	5	별이되어라! for Kakao	0	GAMEVIL	롤플레잉	환상적인 그래픽의 고퀄리티 RPG ★별이되어라! for Kakao★끝없는 전쟁의 비밀을 풀 수 있는 단 한 사람은 바로 당신!지금 바로 별이되어라!로 모험을 떠나 볼까요?[업데이트 안내]- 최상위권 유저와의 한판 승부! 나이트메어 던전 추가!- 꿀같은 복귀 유저만의 혜택! 복귀 유저 버프 시스템 추가!■ 탄탄한 시나리오로 중무장한 고퀄리티 RPG!- 끝없는 전쟁의 비밀을 풀기 위한 험난한 모험- 보덴의 후예여~ 당신만이 세상을 구할 수 있다.■ 화려한 그래픽과 차별화된 이펙트!- 별이되어라! 만의 매력적인 그래픽에 푹 빠져보세요.■ 수 백명의 개성 넘치는 동료들을 수집하는 재미!- 시나리오에 등장하는 주인공들을 나의 동료로 만들어 보세요.- 매력적인 외모에 강력한 능력까지 겸비한 동료들과 함께하세요.■ 쉽고 빠른 레벨업과 함께 성장하는 나만의 파티!- 던전 모드 통합으로 더욱 빠르게 초보 탈출!- 다양한 진형과 파티효과로 나만의 파티를 구성하여 전략을 뽐내세요.■ 누구나 손쉽게 즐기는 자동 전투 시스템!- 자동전투 및 AUTO CALL을 통해 도우미를 소환하여 전투를 승리로 이끄세요.- 자동재도전 시스템으로 더욱 편하게 게임 플레이가 가능합니다.■ 친구들과 협력하고 경쟁하는 다양한 게임플레이!- 실시간 레이드 요새전 PvP아레나 월드 보스 등 다양한 콘텐츠를 만나보세요.별이되어라! for Kakao 공식카페http://cafe.naver.com/dragonblaze* 본 게임의 일부 아이템은 구매가 필요하며 종류에 따라 추가 비용이 발생할 수 있습니다.----개발자 연락처 :문의 연락처: 1588-4263서울시 서초구 서초중앙로4 게임빌 빌딩사업자 등록번호 : 119-81-34778통신판매업신고번호 : 제 2012-서울서초-1166 호통신판매업신고기관 : 서울 특별시 서초구청	5 000 000 - 10 000 000	항목당 가격 ₩3 000 ~ ₩100 000	2016년 6월 15일	16M	4.3
2016-06-17	6	원피스 트레저 크루즈	0	BANDAI NAMCO Entertainment Inc.	롤플레잉	동료들과 함께 떠나는 대모험! 간단한 터치로 화려한 연계기 발동!지금 나만의 해적단을 만들어 ONE PIECE 세계로 떠나보자!◆터치로 연계기를 발동시키는 신감각 액션! ◆‘원피스 트레저 크루즈’는 간단한 터치 조작으로원작 그대로의 박진감 넘치는 배틀을 즐길 수 있는 신감각 터치 액션 게임!타이밍에 맞춰 동료 캐릭터를 터치하여 연계기를 발동시키자!뿐만 아니라 모든 캐릭터들의 개성 넘치는 ‘필살기’도 화려한 액션 연출로 되살아난다!매력적인 캐릭터들이 내 손 안에서 펼치는 화끈한 배틀 한판!◆원작 스토리를 그대로 따라가며 체험해보자! 그 명장면이 지금 생생히 되살아난다! ◆게임 스토리는 소년 루피와 ‘빨간 머리 샹크스’가 만나는 ‘후샤촌’에서 시작된다.원작 스토리를 그대로 체험해 볼 수 있는 ‘퀘스트’를 통해 그때 그 흥분 감동을 되새겨보자!◆동료를 영입하고 육성하여 나만의 해적단을 만들어보자! ◆메인 캐릭터뿐만 아니라 개성 넘치는 감초 캐릭터들도 다 모였다!술집에서 수배서를 획득하여 다양한 캐릭터들을 동료로 영입해보자!그리고 영입한 동료들을 육성해 최강 해적단을 만들어보자!◆’연계기’ 한방으로 큰 데미지를 입히자! ◆특정 캐릭터가 차례로 공격을 가하면초강력 ‘연계기’가 발동한다![권장 OS 버전]Android 4.0 이상[면책사항](1)권장 기기 및 권장 OS 버전 외에서 동작 시 지원 대상에서 제외됩니다.(2)고객 이용 상황에 따라 권장 기기 사용 시에도 동작이 불안정할 수 있습니다.(3)권장 OS 버전 ‘Android 4.0 이상’ 이라 기재된 경우에도 반드시 최신 버전을 지원하지는 않습니다.[최신 권장 기기 기타 문의 사항 안내]http://bnfaq.channel.or.jp/contact/faq_list/1531[이용 약관]http://legal.bandainamcoent.co.jp/terms[개인정보 보호 정책]http://legal.bandainamcoent.co.jp/privacy©EIICHIRO ODA/SHUEISHA TOEI ANIMATIONGame © 2014 BANDAI NAMCO Entertainment Inc.・본 애플리케이션은 권리자의 정식 허가를 받아 제공해 드리고 있습니다..	1 000 000 - 5 000 000	항목당 가격 ₩1 199 ~ ₩66 539	2016년 5월 24일	34M	4.6
2016-06-17	7	프렌즈팝 for Kakao	0	NHN PixelCube Corp.	퍼즐	귀엽고. 익숙한듯. 손에 놓을 수 없는. 국민 프렌즈 게임을 소개합니다★ 팡팡 터지는 6방향의 3매치 퍼즐!6방향으로 움직이는 귀욤귀욤 프렌즈 블록!셋 이상의 프렌즈 블록이 만나면 매력이 팡! 터져요.특수블록을 생성하여 무지개빛 매력을 발산해보세요.★ 90여종의 프렌즈 컬렉션 도전!90 여종의 귀여운 프렌즈들! 프렌즈들의 스킬과 매력이 달라요!프렌즈들을 모두 모아 컬렉션을 완성해보세요!★ 다양한 지역과 짜릿한 미션!비밀의 숲을 지나고 해변가와 도시를 지나 꽁꽁마을엔 눈이!새로운 지역을 오픈해 또 다른 짜릿한 미션을 완료해보세요!★ 나도 이제 금메달 킹!높은 점수로 레벨을 클리어하면 금메달 획득! 금메달을 모아 친구랭킹 1위에 도전해보세요!참! 지역의 모든 금메달을 획득하면 보너스 레벨이 열린답니다!그럼 지금! 매력적인 프렌즈들과 함께 여행을 떠나볼까요?프렌즈팝 페이스북 공식 커뮤니티: https://www.facebook.com/FriendsPopKakao★★★ 게임 설치 또는 업데이트가 정상적으로 진행되지 않는 경우 스마트폰의 잔여 용량을 1Gb 이상 확보하고 재진행 바랍니다 ★★★----개발자 연락처 :주소 : 경기 성남시 분당구 삼평동 629 NHN픽셀큐브 플레이뮤지엄연락처 : 1544-6859사업자 등록 번호 : 114-81-21395통신판매업 신고 번호 : 제 2014-경기성남-071호	5 000 000 - 10 000 000	항목당 가격 ₩2 000 ~ ₩60 000	2016년 5월 18일	49M	3.7
2016-06-17	8	천명	0	EfunKR	액션	■■■■■ 게임특징 ■■■■■■ 500 vs 500 으로 즐기는 실시간 전장 ■오픈필드에서 실시간으로 벌어지는 천명 국가전!실시간 역대급 3D 500vs500 전장을 눈으로 확인하라!■ 대한민국 전체가 격돌하는 전국대항전 ■서울 경기 강원 충청 전라 경상 명예를 걸고 시작되는 치열한 전투!이전에는 경험할 수 없었던 처절한 생존경쟁이 시작된다!■ 오늘 서울은 내가 접수한다! ■치열한 문파 경쟁을 통해 국왕으로 등극하라!국왕이 되어 육성으로 실시간전투를 지휘해라! (음성지원)■ 평범함을 거부하는 스킬 룬 시스템 ■똑같은 스킬을 사용하는 지루함은 가라!스킬 룬에 따라 변화하는 스킬효과로 나만의 전략을 완성하라!■ 강함과 아름다움을 동시에! 코스튬 & 날개 ■강함과 아름다움은 표리일체!다양한 코스튬과 날개로 한 눈에 적을 압도하라!■ 모든 것은 국가의 영광을 위해! 국가침략 퀘스트! ■정정당당하지 못할지라도 국가의 안녕을 위해 적에게 자비란 없다!국가침략 퀘스트를 통해 끊임없이 적들을 약화 시켜라!----------------------------------------------------------* 홈페이지 : http://1000pk.co.kr* 공식카페 : http://cafe.naver.com/1000pk* 페이스북 : http://me2.do/GAGJsoLr	1 000 000 - 5 000 000	항목당 가격 ₩1 203 ~ ₩121 488	2016년 4월 18일	20M	4.3
2016-06-17	9	클래시 오브 클랜	0	Supercell	전략	노란색 콧수염을 휘날리며 전진하는 바바리안에서부터 파이어볼을 내뿜는 잘생긴 마법사까지! 대장만의 군대를 통해 클랜을 승리로 이끌어 보세요. 탄탄한 방어벽으로 침입자로부터 마을을 지키고 전 세계 수백만 명에 달하는 플레이어들과 전투를 즐길 수 있습니다! 친구들과 함께 만든 강력한 클랜으로 다른 클랜들과 경쟁하는 클랜전도 놓치지 마세요!주의! 클래시 오브 클랜의 다운로드와 설치는 무료이지만 일부 아이템의 경우 유료로 구매할 수 있습니다. 유료 콘텐츠를 구매하지 않으려면 강화된 보안을 위해 Google Play 앱의 설정에서 비밀번호를 설정해 주십시오. 또한 이용 약관과 개인정보 취급방침에 따라 클래시 오브 클랜을 다운로드 및 플레이하려면 최소 13세 이상이어야 합니다.특징• 탄탄한 방어벽으로 난공불락의 마을 구축• 바바리안 아처 호그 라이더 마법사 마녀 드래곤 등 강력한 전사로 나만의 군대 양성• 전 세계 플레이어들과의 전투로 트로피 쟁탈• 친구들과 함께 최고의 클랜 결성• 클랜전에서 라이벌 클랜과 벌이는 긴장감 넘치는 전투!• 다양한 레벨의 업그레이드를 통해 20종의 개성 넘치는 유닛 양성• 군대 마법 영웅 클랜 지원 병력 등 최고의 조합으로 내 입맛에 맞는 공격 부대 결성• 대포 타워 박격포 폭탄 장벽 등으로 마을 방어 시스템 구축• 왕국에서 캠페인 형식으로 벌어지는 고블린 왕과의 전투리뷰클래시 오브 클랜은 Google Play에서 오백만 건이 넘는 별 5개 리뷰를 받았습니다.지원게임 중 궁금한 점이 생기면 https://supercell.helpshift.com/a/clash-of-clans/?l=ko 을 방문하여 자주 묻는 질문 및 답변을 찾아봅니다.게임 관련 문의는 고객센터로 문의주시기 바랍니다.*게임 내 설정 > 도움말 및 지원*고객센터 전화번호 1688-6276공식 페이스북https://www.facebook.com/ClashofClans개인 정보 보호 정책:http://www.supercell.net/privacy-policy/이용 약관:http://www.supercell.net/terms-of-service/부모용 가이드:http://www.supercell.net/parents/	100 000 000 - 500 000 000	항목당 가격 ₩5 900 ~ ₩118 100	2016년 6월 15일	62M	4.6
2016-06-17	10	히트	0	NEXON Company	롤플레잉	=== 2016년 5월 26일 신규 업데이트 안내 ===▣ 더 이상 혼자가 아닌 나! “펫” 시스템 추가!펫과 함께 더욱 강력해 진 캐릭터로 플레이하라!▣ 도전의 탑 추가! Coming Soon!새로운 도전! 매일매일 도전의 탑에서 한계를 체험하라!▣ 이벤트 지역 추가! Coming Soon!미지의 세계! 이벤트 지역만의 특별한 보상을 획득하라!=== 게임 소개 ===모바일을 넘어선 액션 RPG!이제까지 겪어보지 못한 화려한 전투와 극강의 액션을 지금 바로 경험하라!▣ 장대한 스토리를 배경으로 한 “모험 모드”어둠으로 물든 지상계를 구하기 위한 모험을 떠나라!▣ 실시간으로 보스 몬스터를 사냥하라! “레이드 모드”실시간으로 협력하여 거대한 보스 몬스터를 사냥하자!▣ 최대 6인이 펼치는 난투장1:1 대결은 이제 지겹다! 이제 팀플레이로 제압하라!▣ 자신만의 캐릭터를 만들어보자! “특성 시스템”특성포인트로 자신만의 전투 캐릭터를 육성하라!◎ 게임 공식카페 바로가기 ▶ http://cafe.naver.com/nexonhit/다양한 이벤트! 멋진 기사님들과의 열띤 토론을 나누며 게임을 즐기고 싶다면 지금 바로 공식 카페를 방문해주세요!----개발자 연락처 :(주)넥슨코리아경기도 성남시 분당구 판교로 256번길 7전화: 1588-7701사업자등록번호: 220-87-17483통신판매업 신고번호: 제 2013-경기성남-1659 호통신판매업 신고기관: 성남시	1 000 000 - 5 000 000	항목당 가격 ₩1 000 ~ ₩100 000	2016년 5월 25일	43M	4.4
