rank	title	price	publisher	category	description	download	inAppProducts	lastUpdate	size	rate
2016-06-15	1	마인크래프트 Minecraft: Pocket Ed.	8429	Mojang	아케이드	최신 무료 업데이트에는 피스톤 정글 사원 텍스처 팩 Xbox Live 지원 (도전 과제 포함) 그리고 새로운 서비스인 Realms가 포함되어 있습니다! Realms는 크로스 플랫폼상의 친구들과 언제 어디서든 존재하는 월드에서 플레이할 수 있는 가장 쉬운 방법입니다. 오늘 앱에서 무료 30일 체험판을 사용해 보세요. 더 자세히 알아보려면 http://minecraft.net/realms를 방문하세요.무작위로 생성된 월드를 탐험하고 간단한 집에서부터 웅장한 성까지 환상적인 것들을 만들어 보세요. 자원이 무제한인 크리에이티브 모드를 플레이하거나 서바이벌 모드에서 깊은 광산을 탐험하고 무기와 방어구를 만들어 위험한 몬스터들을 무찌르세요.혼자 또는 친구들과 함께 모바일 기기나 Windows 10에서 만들고 건설하고 탐험하세요.	10 000 000 - 50 000 000	항목당 가격 ₩999 ~ ₩9 354	2016년 6월 10일	기기에 따라 다릅니다.	4.5
2016-06-15	2	Star Knight	1000	LeftRight	액션	게임은 어려워야 제맛! 무의미한 자동사냥에 지친 다면 당신은 스타나이트 체질!공식카페 http://cafe.naver.com/starknightlnr아름다운 그래픽에 모험과 액션의 환상의 조화. 고난도 액션 플렛포머 게임 Star Knight 에 지금 바로 도전해보세요!평화롭던 가온별에 들이닥친 수많은 몬스터들. 그리고 암흑용 니드호그에게 빼앗겨 버린 태양.역경들을 극복하고 기사 '나로'는 평화를 얻을 수 있을것인가...# 배경이 다른 아름다운 스테이지들을 클리어하세요!- 다양한 지형과 특이한 장애물들이 설치된 스테이지들을 많은 재도전으로 목표지점까지 도달해보세요.- 갈수록 점점 강해지고 다양한 적을 물리쳐보세요. 손에 착 감기는 타격감이 최고!- 특이하고 강력한 패턴의 보스를 이겨보세요. 보상도 두둑히~# 수집하고 성장하세요!- 획득한 코인으로 더 강력한 무기를 가져보세요! 좋은 칼은 더 많은 스킬도 장착 할 수 있어요.- 룬을 모아서 더 강력하고 화려한 스킬을 획득해 보세요.- 숨겨져 있는 아이템과 보석상자를 찾아보세요. 캐릭터가 점점 강해져요!# 싸워서 경쟁하는 아레나모드!- 복잡한 장애물이 없는 아레나모드에서 적들과 마음껏 싸워보세요! 코인도 두둑히 획득하세요!- 웨이브로 계속해서 나오는 적들속에서 최대한 오래살아 남아서 다른 플레이어들과 경쟁해 보세요!----개발자 연락처 :전화번호 : 010-9362-3757	50 000 - 100 000	항목당 가격 ₩1 000 ~ ₩9 000	2016년 6월 2일	75M	4.5
2016-06-15	3	다이스 이즈 캐스트(The Dice is Cast)	1900	Next Stage Inc.	롤플레잉	★ 1000 다운로드 조기 돌파 이벤트 33% 할인 연장! ★▶ 게임소개- 컨트롤 중심의 모바일 액션 RPG!- 언리얼 엔진4로 만들어진 화려한 그래픽!- 콘솔 스타일의 액션과 조작감!- 유저가 직접 콤보 세팅하는 스킬 시스템!- 레어 아이템을 반드시 획득 할 수 있는 스페셜 스테이지 시스템!▶ 스토리- 기억을 잃은 소년이 동료와 함께 잃어버린 기억을 찾아 떠나는 모험 이야기.- 수 많은 기억 속에서 나의 기억을 찾아야한다.※ 버그 리포트 (공식 카페)http://cafe.naver.com/thediceiscast----개발자 연락처 :010-8531-7629	5 000 - 10 000	항목당 가격 ₩1 000 ~ ₩100 000	2016년 6월 14일	93M	4.5
2016-06-15	4	지겨워하지마: VIP	1000	CANDY SOFT INC	롤플레잉	★ VIP 모드 특별 혜택! ★1. 소울오브 획득량이 +20% 영구 증가합니다. (플레이하는 만큼 무한 이득!)2. 노가다 던전의 최대 획득가능 다이아가 50만큼 영구 증가합니다. (매일 500원 이득!) (150개 → 200개)3. PVP 매일 무료입장횟수가 +5회 영구 증가합니다. (매일 500원 이득!) (5회 → 10회)무료버전을 이용하시고자 하는 분들은 여기를 이용해 주세요!https://goo.gl/yUPbXr★ 한국 구글 play추천 게임선정! (2015년 10월) ★★ 전세계 100개국 구글 play추천 게임선정! (2016년 1월) ★★ 30만명이 선택한 높은 퀄리티와 재미보장 인디게임! ★ 간단하고 쉽고 재밌습니다. 할거없을 때 하면 시간 참 잘~ 갑니다. 재미보장! 후회없음! 일단 다운 Go Go 욤~! +_+b ★ 게임 특징 ★1. 간단한 터치만으로 즐길 수 있는 방치형 노가다 영웅 키우기 RPG!2. 타격감 높은 자동전투와 스킬!3. 시간제한 보스 몬스터와의 짜릿한 전투!4. 각성하고 또 각성하라! 끊임없이 강해지는 영웅의 무한 진화와 파워업!5. 누구보다 더 빨리! 더 멀리! 마계정복 랭킹 시스템!6. 수십종의 악마(펫)를 소환 수집 육성하고 부려먹자! 전투에 투입하고 아르바이트로 자동채집 시키자!7. 귀엽고 깜찍하고 개성넘치는 인기 애니메이션풍의 2D 그래픽!8. 삼국지 천하통일의 짜릿함에 맞먹는 마계정복!9. 누가 가장 강한가! 모든 아군 소환수와 함께 진행하는 월드보스 거대 드래곤과의 레이드 던전!10. 매일 캐시가 쏟아지고 게임머니도 팍팍 얻을 수 있는 방치형 효율 극대화 노가다 던전! >_★ 인디게임 개발사에겐 좋은 평점과 Google+1 이 정말 큰 힘이 됩니다!★ 주변 친구들에게 많이 소개부탁드립니다!★ 페이스북 페이지: https://www.facebook.com/candysoft.games★ 공식 까페: http://cafe.naver.com/armpithero----개발자 연락처 :주소: 서울시 구로구 공원로 47문의: candysoft.cs@gmail.com	5 000 - 10 000	항목당 가격 ₩2 000 ~ ₩100 000	2016년 6월 14일	40M	4.6
2016-06-15	5	끝판 할배	1000	Oblique Line	롤플레잉	집에서 푹 쉬던 전설의 대마법사 이그니르.그가 빚을 갚기 위해서 다시 싸운다!- 디펜스의 탈을 쓴 무쌍게임!- 할매집 묵은 된장같은 손맛이 느껴지는 전투!- 할배도 1분만에 이해하는 쉬운 업그레이드&전투 시스템!- 치밀하고 짜임새 있으며 절제된 개그코드- Easy - Normal - Hard 3가지의 난이도 제공- Endless Mode 플레이 가능- 마린키우기와 저글링 디펜스를 기억하신다면 지금 바로 다운로드!- 구글 업적 제공- 구글 리더보드 제공- 게임 문의 및 간첩 신고는 obliquelinedev@gmail.com----개발자 연락처 :010-3173-2679	5 000 - 10 000	항목당 가격 ₩1 000 ~ ₩25 000	2016년 6월 2일	55M	4.5
2016-06-15	6	어쌔신 크리드 아이덴티티	6500	Ubisoft Entertainment	액션	찬사를 받은 어쌔신 크리드 시리즈 최초의 액션 RPG를 플레이해보세요. 나만의 암살자의 눈으로 이탈리아 르네상스를 직접 살펴보며 수십 개의 미션을 완료하고 크로우의 수수께끼를 풀어보세요.제품 평가:• “정말 멋진 그래픽 cnet.com• “진정한 어쌔신 크리드 게임 pocketgamer• “아름다운 그래픽 phonearena.com암살자를 만들고 키우고 꾸미세요!- 클래스를 선택하세요: 버서커 섀도우블래이드 트릭스터 시프 중 선택하세요- 암살자를 꾸미세요: 전리품을 사용하고 의상과 멋진 검이나 비도 등과 같은 무기를 선택하세요.- 암살자를 초보자에서 달인까지 키우세요!수많은 미션과 가능성!- 자유로운 움직임을 경험해보세요: 모바일 화면에서 뛰고 점프하고 벽을 오르며 신념의 도약의 긴장감을 느껴보세요!- 수많은 퀘스트를 완료하며 새로운 장소와 수백 개의 아이템을 잠금 해제하세요.- 간단한 탭이나 듀얼 가상 스틱 컨트롤이나 게임 패드 중 원하는 방식으로 플레이하세요.어쌔신 크리드 게임의 뛰어난 기술력!- Unity 게임 엔진 덕분에 멋진 주문 제작 HD 텍스처 셰이더 모델을 통해 여러분의 화면에서 뛰어난 그래픽을 경험할 수 있습니다.- 이탈리아 르네상스 시대에서 방문하는 모든 곳은 오픈 월드로 피렌체의 산타 크로체 성당 지역 로마의 콜로세움 지역 등을 탐험할 수 있습니다.**어쌔신 크리드**는 최고의 인기를 누리는 시리즈 중 하나입니다. 오랜 시간 동안 어쌔신 크리드 신디케이트 어쌔신 크리드 유니티 어쌔신 크리드 블랙 플래그 등 수많은 유명 시리즈가 큰 성공을 거뒀습니다.지원 언어: 영어 프랑스어 이탈리아어 독일어 스페인어 러시아어 중국어 대만어 브라질어 일본어 한국어어쌔신 크리드 아이덴티티의 팬이신가요? Facebook에서 좋아요를 누르거나 Twitter를 팔로우해 최신 소식을 접하세요:https://www.facebook.com/AssassinsCreedIdentityhttps://twitter.com/acidentity/	10 000 - 50 000	항목당 가격 ₩2 511 ~ ₩126 170	2016년 6월 7일	97M	3.5
2016-06-15	7	디멘션페인터	1500	izzle	어드벤처	*** 디멘션페인터 출시기념 50% 할인 이벤트 중! ***어드벤처 퍼즐 게임 디멘션페인터에 오신 것을 환영합니다!차원을 그리는 마법의 연필로 위기에 빠진 난쟁이 별을 구하세요!난쟁이 마을에 닥친 위기를 용감한 탐험 난쟁이 몽당과다른 차원에서 온 거대한 새 덕춘이와 함께 모험을 떠나세요!여섯개의 지역과 위험한 함정들 함께 떠나는 친구들과 앞길을 방해하는 적들이 여러분을 기다립니다.-시놉시스-머나먼 우주에 차원을 다루는 광석을 연마하는 난쟁이들이 살고 있었습니다.난쟁이들은 광석을 연필로 연마하여 마을 주변에 결계를 치고 조용하고 은밀하게 살고 있었습니다.그러던 어느날 어떠한 힘에 의해 마을의 결계가 지워졌고 마물들이 마을에 몰려와난쟁이 마을은 위험에 빠지고 말았습니다.결국 마을의 장로는 난쟁이 사람들을 대피시키고 마을의 가운데 거대한 차원문을 열었고마물들은 다른 차원으로 보내져버렸습니다.하지만 너무 크게 열려져버린 차원문은 다른 차원과의 통로를 연결 시켜버렸고거대한 차원문의 소용돌이는 모든 것을 빨아들일 듯이 맹렬하게 휘몰아쳤습니다.결국 마을에서 가장 탐험심이 깊고 용감한 청년 몽당은 난쟁이 마을과 행성을 지키기 위해행성의 여섯 유적을 돌며 혼돈의 부유섬에 숨겨져있는 거대한 지우개를 찾아 모험을 떠나게 됩니다.- 지원하지 않는 기기 --ACERIconia Tab A501– picassoIconia Tab A100 (VanGogh)– vangoghIconia Tab A200– picasso_e-ASUSEee Pad TF101– TF101Eee Pad TF101-WiMAX– TF101-WiMAXEee Pad Slider– SL101-DELLDell Streak 10 Pro– Streak10ProDell Streak 7– streak7-GOOGLEXOOM– stingrayXOOM– wingray-LGEOptimus 2X– star_450-05Optimus 2X– p999Optimus 2X– p990_CIS-xxxOptimus 2X– p990Optimus 2X– p990hNOptimus 2X– p990_262-xxLG Revolution– bryceOptimus 2X– p990_EUR-xx-MOTOROLADroid X2– daytonaXOOM– umts_everestPhoton 4G– sunfireAtrix– olympusXOOM– umts_hubbleXOOM– wifi_hubble-SAMSUNGGalaxy Tab 8.9– GT-P7310Galaxy Tab 10.1– SHW-M380KGalaxy Tab 10.1– SCH-I905Galaxy Tab 10.1– SHW-M380SGalaxy Tab 8.9– SGH-I957RGalaxy Tab 8.9– SHV-E140SGalaxy Tab 10.1 v– p3Galaxy Tab 10.1– GT-P7500DGalaxy Tab 10.1– SGH-T859Galaxy Tab 8.9– GT-P7320Galaxy Tab 10.1 N– GT-P7501Galaxy Tab 10.1– SC-01DGalaxy Tab 10.1 N– GT-P7511Galaxy Tab 10.1– SHW-M380WGalaxy Tab 10.1– GT-P7503Galaxy Tab 8.9– SHW-M305WGalaxy Tab 8.9– GT-P7300Galaxy Tab 8.9– SGH-I957DGalaxy Tab 8.9– SHV-E140LGalaxy Tab 8.9– SGH-I957MGalaxy Tab 8.9– SHV-E140KGalaxy Tab 10.1– GT-P7500Galaxy Tab 8.9– SCH-P739Captivate Glide– SGH-I927Galaxy Tab 10.1– SHW-M300WGalaxy Tab 8.9– SGH-I957Galaxy Tab E-SONYSony Tablet P– nbx02Tablet S– nbx03-TOSHIBA CORPORATIONThrive 7– tostab04-ZTEGrand X– P175A20-UNKNOWNMALATA공략 커뮤니티 : http://cafe.naver.com/dimensionpainter공식 페이스북 : http://facebook.com/dimensionpainter문의 : contact@izzle.kr----개발자 연락처 :Email : Contact@izzle.kr문의 전화 : 070-4808-2624	5 000 - 10 000	항목당 가격 ₩3 000 ~ ₩100 000	2016년 6월 12일	58M	4.7
2016-06-15	8	Rusty Lake Hotel	2579	Rusty Lake	어드벤처	Welcome our guests to the Rusty Lake Hotel and make sure they will have a pleasant stay. There will be 5 dinners this week. Make sure every dinner is worth dying for.Rusty Lake Hotel is a mysterious point and click game developed by the creators of the Cube Escape series.Features:- Pick-up-and-play: easy to start but it will be hard to put down- Tons of puzzles: a total of 6 rooms full of unique and various brain teasers- Thrilling and engaging story: there will be 5 dinners with intriguing guests and staff- Full of suspense and atmosphere: Rusty Lake Hotel is a surreal place where anything can happen…- Impressive soundtrack: every room has its own designed theme song- Achievements: an all-time gallery you never seen beforeTap on the arrows to navigate inside the rooms and lobby.Interact with guests staff and objects by tapping.Select found items in your inventory and tap somewhere on screen to use them.We will unfold the Rusty Lake story one step at a time. So check RustyLake.com every day for new content!Like follow and subscribe:Facebook: https://www.facebook.com/rustylakecomTwitter: https://twitter.com/rustylakecomMailing list: http://eepurl.com/bhphw1녹슨 레이크 호텔에 손님을 환영하고 즐거운 곳입니다 있는지 확인합니다. (5) 저녁 식사 이번 주에있을 것입니다. 확실히 모든 저녁 식사가 죽어 가치가 있는지 확인합니다.녹슨 레이크 호텔은 신비 포인트 앤 큐브 탈출 시리즈의 창조자에 의해 개발 된 게임을 클릭합니다.풍모:시작하기 쉬운 그러나 그것은 내려 놓고 어려운 것입니다 : - 업 - 앤 - 플레이 선택- 퍼즐의 톤 : 독특하고 다양한 수수께끼의 전체 6 개의 객실 총- 스릴과 매력적인 이야기 : 흥미로운 손님과 직원 5 저녁 식사가 될 것입니다- 서스펜스 분위기의 전체 : 녹슨 레이크 호텔은 아무것도 일어날 수있는 초현실적 인 장소입니다 ...- 인상적인 사운드 트랙 : 모든 객실은 자신의 디자인 테마 곡이- 도전 과제 : 당신은 전에 본 적이 모든 시간 갤러리객실과 로비 내부 탐색 화살표를 누릅니다.눌러 손님 직원 및 개체와 상호 작용합니다.귀하의 목록에있는 항목을 선택하고 사용하는 화면에 어딘가를 누릅니다.우리는 한 번에 녹슨 호수 이야기 한 단계를 전개 할 것이다. 그래서 새로운 콘텐츠를 매일 RustyLake.com를 확인!마찬가지로 따라 가입 :페이스 북 : https://www.facebook.com/rustylakecom트위터 : https://twitter.com/rustylakecom메일 링리스트 : http://eepurl.com/bhphw1	10 000 - 50 000	NA	2015년 12월 14일	34M	4.8
2016-06-15	9	Geometry Dash	2256	RobTop Games	아케이드	Jump and fly your way through danger in this rhythm-based action platformer!Prepare for a near impossible challenge in the world of Geometry Dash. Push your skills to the limit as you jump fly and flip your way through dangerous passages and spiky obstacles.Simple one touch game play with lots of levels that will keep you entertained for hours!Game Features• Rhythm-based Action Platforming!• Lots of levels with unique soundtracks!• Build and share your own levels using the level editor!• Unlock new icons and colors to customize your character!• Fly rockets flip gravity and much more!• Use practice mode to sharpen your skills!• Lots of achievements and rewards!• No in-app purchases!• Challenge yourself with the near impossible!Contact: support@robtopgames.com이동이 리듬 기반의 액션 플랫 포머에 위험을 통해 귀하의 방법을 비행!형상 대쉬의 세계에서 거의 불가능한 도전을 준비합니다. 당신이 점프 비행 위험한 통로 뾰족한 장애물을 통해 귀하의 방법을 플립으로 한계에 기술을 밀어 넣습니다.당신이 시간 동안 즐겁게 해드릴 것입니다 수준의 많은 간단한 원터치 게임 플레이!게임 특징• 액션 플랫 포밍을 리듬 기반!• 고유의 사운드 트랙 레벨 많이!• 구축 및 레벨 에디터를 사용하여 자신의 수준을 공유!• 당신의 성격을 정의하는 새로운 아이콘과 색상을 잠금 해제!• 로켓 플립 중력과 훨씬 더 플라이!• 기술을 선명하게하는 연습 모드를 사용합니다!• 성과와 보상의 제비!• 없음 - 애플 리케이션 구매!• 가까운 불가능 자신을 도전!연락처 : support@robtopgames.com	1 000 000 - 5 000 000	NA	2015년 9월 29일	48M	4.8
2016-06-15	10	Football Manager Mobile 2016	10000	SEGA	스포츠	이 게임은 한국어를 지원하지 않습니다.Football Manager Mobile 2016은 이동 중에서 플레이할 수 있으며 전술과 이적에 집중하며 좋아하는 팀을 영광의 길로 이끌 수 있는 가장 빠른 방법입니다.대형 유럽 리그를 포함해 세계 각지 14개 국가의 모든 클럽을 이끌 수 있습니다. 이적과 전술 그리고 누가 경기에 참가하고 누가 벤치에 앉는지는 당신이 결정합니다. 선수를 계속 유지하고 이사진과 팬을 행복하게 해주고 클럽을 승리로 이끄는 건 당신에게 달렸습니다.Football Manager Mobile 2016에는 새롭고 좋아진 기능이 많이 포함되어 있습니다:FOOTBALL MANAGER MOBILE 2016 – 주요 기능강화된 전략새로운 전략 지시 기능 도입으로 선수단을 더욱 편리하게 관리할 수 있습니다. 팀이 패스에 집중하게 또는 주요 공격 방법을 선택할 수 있으며 골키퍼에게도 조언을 줄 수 있습니다.코치진코치 추가로 경기가 벌어지는 날에 맞춰 선수단을 준비하세요. 다음 큰 경기에 대비해 팀을 집중적으로 훈련시킬 수 있습니다.감독 스타일골드 실버 브론즈 코치 배지 도입으로 나만의 감독 스타일을 결정할 수 있습니다. 수비 능력과 공격 능력 중 어느 쪽 능력 강화에 집중하실 건가요? 또 사기 관리와 선수 관리 중 어느 쪽에 집중하실 건가요? 당신의 결정이 팀의 스타일에 영향을 줍니다.개선된 화면주요 화면을 새롭게 디자인해 Football Manager Mobile 2016이 더욱 직관적이 됐으며 개선된 뉴스 화면으로 필요한 모든 정보를 손쉽게 확인할 수 있습니다.선수 임대새롭게 계약한 젊은 선수를 이전 클럽으로 다시 임대해 첫 번째 팀에서 얻은 경험을 이어갈 수 있도록 했습니다.첫 번째 이적 시장 구매력게임 세계를 넘나들며 크게 변하지 않은 선수단으로 새롭게 경력을 시작하고 싶은 감독은 '첫 번째 이적 시장 예산 없음' 옵션 사용을 선택해 무료로 이적할 수 있습니다.설치하려면 인터넷 연결이 필요합니다.	100 000 - 500 000	항목당 가격 ₩1 161 ~ ₩16 401	2016년 4월 13일	NA	4.1
